id,naslov,avtor,ocena_kritikov,leto,ocena_ljudi
389,Ask the Dust,Lorn,81,2012,84
390,Origin: Orphan,The Hidden Cameras,81,2009,90
391,Animals In The Dark,William Elliott Whitmore,81,2009,90
392,Gold And Green,OOIOO,81,2005,82
393,It's a Wonderful Life,Sparklehorse,81,2001,89
394,Can Our Love...,Tindersticks,81,2001,90
395,Double Figure,Plaid,81,2001,78
396,WIXIW,Liars,81,2012,86
397,Mutt,Cory Branan,81,2012,85
398,Engineers,Engineers,81,2005,85
399,Alasdair Roberts,Alasdair Roberts,81,2015,88
400,Anniemal,Annie,81,2005,86
401,"New History Warfare, Vol. 3: To See More Light",Colin Stetson,81,2013,81
402,Put Your Back N 2 It,Perfume Genius,81,2012,82
403,Patience (After Sebald),The Caretaker,81,2012,80
404,July Flame,Laura Veirs,81,2010,75
405,Wilderness,Wilderness,81,2005,75
406,Bonfires On The Heath,The Clientele,81,2009,83
407,St. Elsewhere,Gnarls Barkley,81,2006,84
408,Drums And Guns,Low,81,2007,82
409,Gore,Deftones,81,2016,81
410,Beware the Fetish,Kasai Allstars,81,2014,87
411,The Magic Whip,Blur,81,2015,84
412,Distance Inbetween,The Coral,81,2016,74
413,The London Sessions,LCD Soundsystem,81,2011,89
414,"Hold On Now, Youngster",Los Campesinos!,81,2008,89
415,The Plot Against Common Sense,Future of the Left,81,2012,83
416,Major Arcana,Speedy Ortiz,81,2013,76
417,En Yay Sah,Janka Nabay,81,2012,90
418,1972,Josh Rouse,81,2003,87
419,Summer Of The Shark,Portastatic,81,2003,83
421,Scissor Sisters,Scissor Sisters,81,2004,89
422,Transcendental Youth,The Mountain Goats,81,2012,86
423,Infinite Love,Dustin Wong,81,2010,79
424,Congotronics 2: Buzz'N'Rumble From The Urb'N'Jungle,Various Artists,81,2006,79
425,Microcastle,Deerhunter,81,2008,90
426,You Are Not Alone,Mavis Staples,81,2010,88
427,Love,Amen Dunes,81,2014,77
428,A Wonder Working Stone,Alasdair Roberts,81,2013,75
429,New View,Eleanor Friedberger,81,2016,76
430,Rhythm,Wildbirds & Peacedrums,81,2014,85
431,You're Better Than This,Pile,81,2015,85
432,Easy Wonderful,Guster,81,2010,84
433,Sweet Heart Sweet Light,Spiritualized,81,2012,83
434,Flashmob,Vitalic,81,2009,86
435,MM..Food,MF Doom,81,2004,87
436,Victim of Love,Charles Bradley,81,2013,75
437,The Evangelist,Robert Forster,81,2008,84
438,Penance Soiree,The Icarus Line,81,2004,84
439,The Old Kit Bag,Richard Thompson,81,2003,84
440,I Phantom,Mr. Lif,81,2002,84
441,Something Wicked This Way Comes,The Herbaliser,81,2002,89
442,The Coral,The Coral,81,2003,85
443,Nightmare Ending,Eluvium,81,2013,80
444,Kveikur,Sigur Rós,80,2013,86
445,"Hissing Fauna, Are You The Destroyer?",Of Montreal,80,2007,89
446,The Bravest Man in the Universe,Bobby Womack,80,2012,80
447,The  Age of Adz,Sufjan Stevens,80,2010,84
448,From Scotland with Love,King Creosote,80,2014,67
449,The  Blind Hole,Dead in the Dirt,80,2013,65
450,Break It Yourself,Andrew Bird,80,2012,88
451,Replica,Oneohtrix Point Never,80,2011,86
452,Howl,Rival Consoles,80,2015,68
453,The  Wilderness,Explosions in the Sky,80,2016,80
454,Sorry To Bother You,The Coup,80,2012,84
455,Hair,White Fence,80,2012,82
456,Brilliant Sanity,Teleman,80,2016,82
457,Quarantine,Laurel Halo,80,2012,86
458,Ay Ay Ay,Matias Aguayo,80,2009,83
459,Offend Maggie,Deerhoof,80,2008,85
460,Sound & Color,Alabama Shakes,80,2015,82
461,Manafon,David Sylvian,80,2009,80
462,Dornik,Dornik,80,2015,88
463,All Is Dream,Mercury Rev,80,2001,85
464,Hi Honey,Low Cut Connie,80,2015,81
465,Spring and Fall,Paul Kelly,80,2012,87
466,No One Wants To Be Here and No One Wants To Leave,The Twilight Sad,80,2014,86
467,The Crying Light,Antony and the Johnsons,80,2009,81
468,Sahel Folk,Sidi Toure & Friends,80,2011,86
469,The  No-Hit Wonder,Cory Branan,80,2014,80
470,Heart,Stars,80,2003,88
471,Let Go,Nada Surf,80,2003,89
472,Blue Boy,Ron Sexsmith,80,2001,80
473,Kid A,Radiohead,80,2000,93
474,Music,Madonna,80,2000,83
475,I Liked It Better When You Had No Heart,Butch Walker And The Black Widows,80,2010,77
476,Akron/Family,Akron/Family,80,2005,87
477,Ratchet,Shamir,80,2015,79
478,Aw C'Mon,Lambchop,80,2004,82
479,Real Life Is No Cool,Lindstrom & Christabelle,80,2010,73
480,Mirror Traffic,Stephen Malkmus,80,2011,82
481,Return To The Sea,Islands,80,2006,83
482,Cedars,Clearlake,80,2003,80
483,Humming By The Flowered Vine,Laura Cantrell,80,2005,77
484,I Shall Die Here,The Body,80,2014,88
485,Destroy Rock & Roll,Mylo,80,2006,83
486,One True Vine,Mavis Staples,80,2013,80
487,Gorilla Manor,Local Natives,80,2010,88
488,Retribution,Tanya Tagaq,80,2016,87
489,Suckfish,Audion,80,2005,68
491,Emmaar,Tinariwen,80,2014,75
492,Snakes For The Divine,High on Fire,80,2010,68
493,Hairless Toys,Roisin Murphy,80,2015,84
494,Sanddollars [EP],Why?,80,2005,82
495,Thursday,The Weeknd,80,2011,82
496,Fool,Jameszoo,80,2016,78
497,Fetch,Melt Banana,80,2013,88
498,Honest,Future,80,2014,60
499,The Tigers Have Spoken,Neko Case,80,2004,86
500,Kill For Love,Chromatics,80,2012,88
501,Wyatt at the Coyote Palace,Kristin Hersh,80,2016,84
502,Heron Oblivion,Heron Oblivion,80,2016,70
503,Since We Last Spoke,RJD2,80,2004,89
504,Tasty,Kelis,80,2003,87
505,New York Noise,Various Artists,80,2003,88
506,Under Cold Blue Stars,Josh Rouse,80,2002,78
507,Perpetual Motion People,Ezra Furman,80,2015,81
508,The Sunlandic Twins,Of Montreal,80,2005,90
509,Lily-O,Sam Amidon,80,2014,75
510,LP,Holy Fuck,80,2007,69
511,Hey Hey My My Yo Yo,Junior Senior,80,2007,84
512,Communion,Rabit,80,2015,82
513,The Last Romance,Arab Strap,80,2006,83
514,Stitch of the World,Tift Merritt,80,2017,84
515,Le Noise,Neil Young,80,2010,81
516,The Power Of Negative Thinking: B-Sides & Rarities,The Jesus and Mary Chain,80,2008,85
517,Swisher,Blondes,80,2013,73
518,Year Of Meteors,Laura Veirs,80,2005,81
519,Tones Of Town,Field Music,80,2007,87
520,Let the Good Times Roll,JD McPherson,80,2015,81
521,Dirt Farmer,Levon Helm,80,2007,86
522,Bottomless Pit,Death Grips,80,2016,85
523,Tassili,Tinariwen,80,2011,85
524,Black Sun,Kode9 & the Spaceape,80,2011,78
525,Night Falls Over Kortedala,Jens Lekman,80,2007,89
526,Jim Noir,Jim Noir,80,2008,86
527,Give My Love to London,Marianne Faithfull,80,2014,73
528,The Book of Souls,Iron Maiden,80,2015,87
529,Believers,A.A. Bondy,80,2011,78
530,Street Horrrsing,Fuck Buttons,80,2008,66
531,Oshin,DIIV,80,2012,85
532,Still,Richard Thompson,80,2015,75
533,Wed 21,Juana Molina,80,2013,88
534,Reason to Believe: The Songs of Tim Hardin,Various Artists,80,2013,84
535,The Golden Age of Apocalypse,Thundercat,80,2011,84
536,Random Axe,Random Axe,80,2011,83
537,Follow Me Down,Sarah Jarosz,80,2011,81
538,At The Cut,Vic Chesnutt,80,2009,86
539,Mystery [EP],BLK JKS,80,2009,81
540,What I Do,Alan Jackson,80,2004,80
541,Fabulous Muscles,Xiu Xiu,80,2004,88
542,Me First,The Elected,80,2004,83
543,Dangerous Magical Noise,The Dirtbombs,80,2003,84
544,God Hates Us All,Slayer,80,2001,84
545,Everything & Nothing,David Sylvian,80,2000,88
546,"The ""W""",Wu-Tang Clan,80,2000,88
547,Landing On A Hundred,Cody ChesnuTT,80,2012,77
548,A Chance To Cut Is A Chance To Cure,Matmos,80,2001,78
549,Nothing Is Wrong,Dawes,80,2011,81
550,End Times Undone,David Kilgour and the Heavy Eights,80,2014,76
551,Pink,Boris,80,2006,84
552,Praise & Blame,Tom Jones,80,2010,89
